Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Jacksonville Jaguars,16,289,509,56.8,2718,17,3.3,21,4.1,6.0,4.9,10.6,169.9,68.5,55,356,4.8,3.7,9.8,89.04
2,Minnesota Vikings,16,324,555,58.4,3078,13,2.3,14,2.5,6.0,5.3,10.3,192.4,73.0,37,251,5.2,4.6,6.3,29.67
3,Los Angeles Chargers,16,329,524,62.8,3156,17,3.2,18,3.4,6.5,5.6,10.4,197.3,78.1,43,261,5.6,4.7,7.6,39.91
4,Denver Broncos,16,294,491,59.9,3210,29,5.9,10,2.0,6.9,7.2,11.5,200.6,91.9,33,175,6.1,6.4,6.3,-46.64
5,Pittsburgh Steelers,16,297,499,59.5,3217,20,4.0,16,3.2,7.2,6.6,12.2,201.1,81.8,56,393,5.8,5.2,10.1,-14.19
6,Seattle Seahawks,16,325,554,58.7,3347,19,3.4,14,2.5,6.5,6.1,11.1,209.2,79.1,39,269,5.6,5.2,6.6,-15.83
7,Chicago Bears,16,343,529,64.8,3376,18,3.4,8,1.5,6.9,6.9,10.7,211.0,89.9,42,277,5.9,5.9,7.4,-41.62
8,Cincinnati Bengals,16,336,561,59.9,3379,20,3.6,11,2.0,6.5,6.3,10.9,211.2,82.9,41,278,5.6,5.5,6.8,-27.07
9,Washington Redskins,16,306,531,57.6,3420,23,4.3,16,3.0,7.0,6.5,12.1,213.8,81.0,42,272,6.0,5.5,7.3,30.43
10,Baltimore Ravens,16,333,569,58.5,3421,18,3.2,22,3.9,6.5,5.4,11.1,213.8,72.4,41,280,5.6,4.6,6.7,61.30
11,Dallas Cowboys,16,371,559,66.4,3425,28,5.0,10,1.8,6.7,6.9,10.1,214.1,94.6,38,321,5.7,5.9,6.4,-71.80
12,Atlanta Falcons,16,362,553,65.5,3429,22,4.0,8,1.4,6.7,6.9,10.3,214.3,91.9,39,296,5.8,5.9,6.6,-66.11
13,Los Angeles Rams,16,324,555,58.4,3475,21,3.8,18,3.2,6.8,6.1,11.7,217.2,78.4,48,324,5.8,5.1,8.0,10.76
14,Arizona Cardinals,16,343,564,60.8,3541,24,4.3,15,2.7,6.7,6.4,11.1,221.3,83.9,37,255,5.9,5.6,6.2,2.55
15,New Orleans Saints,16,329,554,59.4,3597,22,4.0,20,3.6,7.0,6.2,11.8,224.8,79.0,42,287,6.0,5.3,7.0,-59.08
16,Miami Dolphins,16,339,528,64.2,3603,26,4.9,9,1.7,7.2,7.4,11.2,225.2,94.8,30,185,6.5,6.7,5.4,-107.62
17,Philadelphia Eagles,16,363,601,60.4,3637,24,4.0,19,3.2,6.5,5.8,10.7,227.3,79.5,38,246,5.7,5.1,5.9,17.39
18,Carolina Panthers,16,351,550,63.8,3665,25,4.5,10,1.8,7.2,7.3,11.3,229.1,92.9,50,304,6.1,6.2,8.3,-28.56
19,Cleveland Browns,16,360,525,68.6,3684,28,5.3,7,1.3,7.4,7.9,10.8,230.3,102.3,34,197,6.6,7.0,6.1,-116.48
20,Buffalo Bills,16,370,573,64.6,3688,14,2.4,18,3.1,6.7,5.8,10.4,230.5,78.9,27,156,6.1,5.3,4.5,-19.31
21,New York Jets,16,329,558,59.0,3749,30,5.4,11,2.0,7.0,7.2,11.9,234.3,90.1,28,155,6.4,6.6,4.8,-103.90
22,San Francisco 49ers,16,344,544,63.2,3764,27,5.0,10,1.8,7.2,7.4,11.5,235.3,93.9,30,179,6.6,6.7,5.2,-118.07
23,Green Bay Packers,16,348,513,67.8,3789,30,5.8,11,2.1,7.9,8.1,11.6,236.8,102.0,37,252,6.9,7.1,6.7,-132.57
24,Houston Texans,16,321,501,64.1,3799,30,6.0,11,2.2,8.0,8.2,12.5,237.4,99.5,32,200,7.1,7.3,6.0,-98.17
25,Tennessee Titans,16,369,605,61.0,3828,27,4.5,12,2.0,6.8,6.8,11.1,239.3,87.8,43,272,5.9,5.9,6.6,-113.10
26,Oakland Raiders,16,361,530,68.1,3858,24,4.5,5,0.9,7.6,8.1,11.2,241.1,101.8,31,188,6.9,7.3,5.5,-128.97
27,Detroit Lions,16,366,570,64.2,3892,21,3.7,19,3.3,7.2,6.5,11.3,243.3,84.1,35,228,6.4,5.7,5.8,-39.83
28,Indianapolis Colts,16,320,513,62.4,3946,23,4.5,13,2.5,8.0,7.8,12.9,246.6,91.9,25,177,7.3,7.1,4.6,-136.13
29,Kansas City Chiefs,16,325,570,57.0,3952,23,4.0,16,2.8,7.2,6.8,12.7,247.0,81.5,31,179,6.6,6.1,5.2,-81.81
30,New England Patriots,16,367,590,62.2,4020,24,4.1,12,2.0,7.3,7.2,11.8,251.3,89.5,42,299,6.4,6.3,6.6,-107.55
31,New York Giants,16,347,561,61.9,4038,32,5.7,13,2.3,7.5,7.6,12.1,252.4,94.2,27,161,6.9,7.0,4.6,-95.81
32,Tampa Bay Buccaneers,16,371,549,67.6,4169,22,4.0,13,2.4,7.8,7.6,11.6,260.6,94.6,22,137,7.3,7.0,3.9,-117.72
,Avg Team,,339.3,546.5,62.1,3589.7,23.2,4.2,13.4,2.5,7.0,6.8,11.3,224.4,85.1,37.3,244.1,6.15,5.9,6.4,
,League Total,,10856,17488,62.1,114870,741,4.2,430,2.5,7.0,6.8,11.3,224.4,85.1,1195,7810,6.15,5.9,6.4,
,Avg Tm/G,,21.2,34.2,62.1,224.4,1.4,4.2,0.8,2.5,7.0,6.8,11.3,224.4,85.1,2.3,15.3,6.15,5.9,6.4