Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Philadelphia Eagles,16,337,1267,7,3.8,79.2,39.36
2,Minnesota Vikings,16,364,1337,10,3.7,83.6,74.65
3,Carolina Panthers,16,353,1409,7,4.0,88.1,51.04
4,Tennessee Titans,16,398,1420,5,3.6,88.8,71.57
5,Denver Broncos,16,428,1430,9,3.3,89.4,97.45
6,Arizona Cardinals,16,407,1432,12,3.5,89.5,56.91
7,Cleveland Browns,16,467,1566,14,3.4,97.9,61.13
8,Dallas Cowboys,16,403,1664,7,4.1,104.0,4.52
9,Atlanta Falcons,16,402,1665,9,4.1,104.1,14.82
10,Pittsburgh Steelers,16,385,1693,14,4.4,105.8,-3.18
11,Chicago Bears,16,432,1730,10,4.0,108.1,40.77
12,Oakland Raiders,16,433,1743,11,4.0,108.9,30.51
13,Houston Texans,16,440,1747,14,4.0,109.2,31.72
14,Miami Dolphins,16,431,1768,14,4.1,110.5,40.23
15,Baltimore Ravens,16,435,1780,12,4.1,111.3,25.38
16,New Orleans Saints,16,406,1787,11,4.4,111.7,10.11
17,Green Bay Packers,16,464,1793,10,3.9,112.1,43.10
18,Detroit Lions,16,432,1800,18,4.2,112.5,17.34
19,Seattle Seahawks,16,452,1824,14,4.0,114.0,59.07
20,New England Patriots,16,390,1836,6,4.7,114.8,-3.49
21,Jacksonville Jaguars,16,429,1860,9,4.3,116.3,52.68
22,San Francisco 49ers,16,491,1861,13,3.8,116.3,34.93
23,Tampa Bay Buccaneers,16,440,1880,17,4.3,117.5,24.20
24,New York Jets,16,466,1887,13,4.0,117.9,44.88
25,Kansas City Chiefs,16,443,1890,15,4.3,118.1,-14.30
26,Indianapolis Colts,16,488,1927,15,3.9,120.4,17.39
27,New York Giants,16,464,1933,10,4.2,120.8,31.75
28,Los Angeles Rams,16,418,1957,15,4.7,122.3,1.09
29,Buffalo Bills,16,466,1994,22,4.3,124.6,-18.41
30,Cincinnati Bengals,16,489,2046,13,4.2,127.9,5.34
31,Los Angeles Chargers,16,430,2098,11,4.9,131.1,-1.48
32,Washington Redskins,16,472,2146,13,4.5,134.1,-22.09
,Avg Team,,429.8,1755.3,11.9,4.1,109.7,28.7
,League Total,,13755,56170,380,4.1,109.7,
,Avg Tm/G,,26.9,109.7,0.7,4.1,109.7